datetime,open,high,low,close,volume,quote_volume,taker_buy_volume
2024-10-21 15:00:00,67268.0,67347.96,66840.67,67341.02,2856.87172,191469203.9528939,1505.12329
2024-10-21 16:00:00,67341.02,67344.0,66894.0,67327.0,1382.94149,92826175.9208638,667.47651
2024-10-21 17:00:00,67326.99,67669.62,67260.0,67526.01,1640.03756,110754101.2580945,858.0058
2024-10-21 18:00:00,67526.0,67526.01,67035.04,67335.05,1277.99748,85990284.9879569,601.99046
2024-10-21 19:00:00,67335.05,67941.17,67335.01,67763.0,1240.18922,83905210.400317,658.93159
2024-10-21 20:00:00,67763.99,67818.19,67624.18,67749.99,494.38709,33472706.8526878,207.26843
2024-10-21 21:00:00,67750.0,67933.79,67688.14,67803.21,389.90719,26439411.4842686,168.26682
2024-10-21 22:00:00,67803.21,67878.78,67602.84,67781.07,544.89463,36919473.1086983,199.86065
2024-10-21 23:00:00,67781.07,67781.08,67366.66,67377.5,662.80013,44753167.9782971,198.48321
2024-10-22 00:00:00,67377.5,67406.5,66571.42,67149.73,2276.06378,152417515.7282511,994.91436
2024-10-22 01:00:00,67149.73,67538.0,67050.0,67508.29,826.66904,55689722.2756862,423.06911
2024-10-22 02:00:00,67508.29,67694.92,67269.32,67317.23,876.23526,59183544.6064796,428.57733
2024-10-22 03:00:00,67317.23,67553.34,67300.55,67390.02,551.26328,37151669.3900313,242.6533
2024-10-22 04:00:00,67390.01,67493.35,67278.02,67493.34,386.13539,26020681.0600156,186.77119
2024-10-22 05:00:00,67493.35,67642.23,67452.05,67579.99,605.65686,40927654.282528,286.46446
2024-10-22 06:00:00,67579.99,67800.0,67572.0,67572.01,992.83241,67233660.4456538,591.11485
2024-10-22 07:00:00,67572.0,67696.97,67386.04,67402.0,598.06763,40398332.1707728,316.16769
2024-10-22 08:00:00,67402.0,67402.14,66900.0,66934.07,1660.35676,111444969.4759928,621.81331
2024-10-22 09:00:00,66934.08,67127.71,66740.0,66960.02,1798.41018,120332796.0322093,838.011
2024-10-22 10:00:00,66960.02,67240.0,66868.53,67184.56,1590.12437,106627045.5576826,908.43056
2024-10-22 11:00:00,67184.56,67526.67,67166.95,67299.15,904.03864,60888934.0597741,455.74191
2024-10-22 12:00:00,67299.15,67474.23,66860.0,66984.0,964.61675,64727172.0030452,442.81717
2024-10-22 13:00:00,66984.0,67175.0,66644.18,66998.21,1827.6462,122328246.6053181,817.38809
2024-10-22 14:00:00,66998.21,67686.67,66828.0,67559.03,2285.92003,153976791.9878104,1305.02249
2024-10-22 15:00:00,67559.03,67693.34,67105.65,67282.27,1155.40221,77838282.4572578,513.89962
2024-10-22 16:00:00,67282.27,67282.28,66920.0,66966.07,968.42904,64947578.8141221,405.16856
2024-10-22 17:00:00,66966.06,67435.0,66946.5,67331.58,952.92437,64080085.0024745,631.78115
2024-10-22 18:00:00,67331.58,67534.19,67246.79,67385.0,1006.37813,67847475.2360737,729.79487
2024-10-22 19:00:00,67385.0,67635.72,67343.81,67482.98,701.61513,47369592.3443956,376.37401
2024-10-22 20:00:00,67482.99,67575.57,67422.12,67532.0,447.5872,30217348.7549919,302.86469
2024-10-22 21:00:00,67532.0,67550.0,67415.3,67534.85,244.98103,16524654.7024746,138.66855
2024-10-22 22:00:00,67534.85,67836.01,67491.05,67724.0,618.02795,41829112.0721142,303.17969
2024-10-22 23:00:00,67724.0,67773.94,67292.0,67426.0,359.58104,24282926.5954004,139.83061
2024-10-23 00:00:00,67426.01,67472.83,67130.43,67179.13,577.86445,38856655.9492945,259.03621
2024-10-23 01:00:00,67179.13,67386.94,67179.13,67348.46,393.55985,26483283.4233024,195.69149
2024-10-23 02:00:00,67348.46,67386.93,67068.28,67096.0,581.36673,39062967.2657006,200.62056
2024-10-23 03:00:00,67095.99,67180.92,66890.0,67082.1,639.25878,42838409.1132839,280.36798
2024-10-23 04:00:00,67082.1,67249.84,66999.99,67217.48,515.38779,34598962.3830557,286.67975
2024-10-23 05:00:00,67217.48,67227.59,67042.44,67087.06,344.91746,23151627.7124726,121.62681
2024-10-23 06:00:00,67087.06,67302.83,66904.18,66917.55,734.38739,49287592.0319077,363.58103
2024-10-23 07:00:00,66917.55,67000.77,66800.0,66852.34,610.35202,40833683.3652195,283.7117
2024-10-23 08:00:00,66852.33,67048.0,66415.62,66530.0,1433.79395,95657736.9267306,599.24502
2024-10-23 09:00:00,66530.0,66602.35,66200.0,66516.0,1401.02255,93054669.3396729,708.65325
2024-10-23 10:00:00,66515.99,66643.5,66397.37,66398.19,898.8687,59797630.517232,279.39244
2024-10-23 11:00:00,66398.18,66600.0,66276.04,66414.0,944.47823,62757098.7601454,387.03602
2024-10-23 12:00:00,66414.0,66512.11,66105.0,66416.72,1715.78782,113832526.9568993,730.49539
2024-10-23 13:00:00,66416.72,66910.15,66340.4,66800.0,1214.4722,80909674.013054,661.82676
2024-10-23 14:00:00,66799.99,66878.79,66433.0,66490.0,1221.12677,81399412.2201075,606.33319
2024-10-23 15:00:00,66489.99,66492.0,65923.01,66223.44,2404.06932,159055614.8876963,1091.14028
2024-10-23 16:00:00,66223.45,66288.0,65801.0,65878.02,1896.31971,125142857.1947837,911.56541
2024-10-23 17:00:00,65878.02,65989.97,65637.0,65723.32,1676.39017,110267325.258423,791.62274
2024-10-23 18:00:00,65723.31,66070.26,65260.0,66057.79,2506.24902,164363547.7806171,1236.53048
2024-10-23 19:00:00,66057.78,66573.58,65872.0,66472.0,1668.71629,110558973.7825351,879.79354
2024-10-23 20:00:00,66472.0,66680.0,66338.99,66669.0,727.46539,48379624.3316042,371.13799
2024-10-23 21:00:00,66668.99,66683.34,66362.15,66414.01,372.21879,24751920.0956619,136.33746
2024-10-23 22:00:00,66414.0,66575.76,66351.58,66472.96,462.35838,30735987.7350278,173.61657
2024-10-23 23:00:00,66472.95,66807.37,66460.0,66668.65,589.80894,39323649.8743189,332.29788
2024-10-24 00:00:00,66668.65,67476.11,66510.0,67432.01,1333.57278,89340730.3624199,864.69728
2024-10-24 01:00:00,67432.0,67612.12,67058.03,67268.17,1439.99436,97001964.2622253,725.93869
2024-10-24 02:00:00,67268.17,67507.6,67157.09,67459.63,789.12141,53146325.0499099,361.58923
